,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1,Members scored,F10
1521,Casshern Sins,1522.0,1161,7.52,24.0,TV,https://myanimelist.net/anime/4981/Casshern_Sins,Fall 2008 ,Casshern Sins,キャシャーン SINS,,Finished Airing ,"Oct 2, 2008 to Mar 16, 2009 ",,"Showgate, USEN ",Funimation ,"Madhouse, Tatsunoko Production ",Other ,"Action, Adventure, Drama, Psychological, Sci-Fi",24 min. per ep. ,R - 17+ (violence & profanity) ,1439,137237,8158,55116,8371,8313,57279,5032.0,7763.0,12763.0,12039.0,6036.0,3085.0,1479.0,584.0,307.0,263.0,49351.0,0.026108571013861673
730,Soul Eater,732.0,49,7.86,51.0,TV,https://myanimelist.net/anime/3588/Soul_Eater,Spring 2008 ,Soul Eater,ソウルイーター,,Finished Airing ,"Apr 7, 2008 to Mar 30, 2009 ",Mondays at 18:00 (JST) ,"TV Tokyo, Aniplex, Dentsu, Media Factory ",Funimation ,Bones ,Manga ,"Action, Fantasy, Comedy, Supernatural, Shounen",24 min. per ep. ,PG-13 - Teens 13 or older ,20980,1296691,93388,805104,81925,70465,245809,79380.0,139555.0,211677.0,164007.0,62349.0,26193.0,9317.0,3085.0,1490.0,1451.0,698504.0,0.026058745205588346
353,Eizouken ni wa Te wo Dasu na!,354.0,663,8.16,12.0,TV,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na,Winter 2020 ,Keep Your Hands Off Eizouken!,映像研には手を出すな!,Hands off the Motion Pictures Club!,Finished Airing ,"Jan 6, 2020 to Mar 23, 2020 ",Mondays at 00:10 (JST) ,"Warner Bros. Japan, Warner Music Japan, Shogakukan, NHK Enterprises ",,Science SARU ,Manga ,"Adventure, Comedy, School, Seinen",25 min. per ep. ,PG-13 - Teens 13 or older ,2597,239648,33306,99938,13912,11701,80791,13244.0,26146.0,33162.0,16717.0,5621.0,2284.0,840.0,294.0,155.0,249.0,98712.0,0.025986111389061217
1069,Tenkuu no Escaflowne,1070.0,1215,7.69,26.0,TV,https://myanimelist.net/anime/182/Tenkuu_no_Escaflowne,Spring 1996 ,The Vision of Escaflowne,天空のエスカフローネ,Tenkuu no Escaflowne,Finished Airing ,"Apr 2, 1996 to Sep 24, 1996 ",Tuesdays at 18:00 (JST) ,"TV Tokyo, Bandai Visual ","Funimation, Bandai Entertainment ",Sunrise ,Original ,"Adventure, Psychological, Romance, Fantasy, Mecha",24 min. per ep. ,PG-13 - Teens 13 or older ,1875,130925,5172,72166,5204,4339,44044,6405.0,10261.0,16739.0,14921.0,6301.0,2661.0,938.0,322.0,150.0,107.0,58805.0,0.0259817642657207
1079,White Album 2,1080.0,798,7.68,13.0,TV,https://myanimelist.net/anime/18245/White_Album_2,Fall 2013 ,White Album 2,ホワイトアルバム2,"White Album2, WA2",Finished Airing ,"Oct 6, 2013 to Dec 29, 2013 ",,Starchild Records ,,Satelight ,Visual novel ,"Drama, Music, Romance, Slice of Life",23 min. per ep. ,PG-13 - Teens 13 or older ,2865,201563,8720,110945,4719,5342,71837,11015.0,17170.0,26538.0,20269.0,9038.0,4014.0,2025.0,909.0,527.0,670.0,92175.0,0.025823606291405652
1080,White Album 2,1081.0,801,7.68,13.0,TV,https://myanimelist.net/anime/18245/White_Album_2,Fall 2013 ,White Album 2,ホワイトアルバム2,"White Album2, WA2",Finished Airing ,"Oct 6, 2013 to Dec 29, 2013 ",,Starchild Records ,,Satelight ,Visual novel ,"Drama, Music, Romance, Slice of Life",23 min. per ep. ,PG-13 - Teens 13 or older ,2865,201728,8736,111019,4723,5342,71908,11023.0,17181.0,26563.0,20272.0,9043.0,4016.0,2028.0,913.0,529.0,670.0,92238.0,0.025806393500211675
369,Detroit Metal City,370.0,892,8.14,12.0,OVA,https://myanimelist.net/anime/3702/Detroit_Metal_City,,Detroit Metal City: The Animated Series,デトロイト・メタル・シティ,DMC,Finished Airing ,"Aug 8, 2008 to Oct 28, 2008 ",,"Sony Music Entertainment, Beyond C. ",Sentai Filmworks ,Studio 4°C ,Manga ,"Music, Comedy, Seinen",13 min. per ep. ,R - 17+ (violence & profanity) ,2942,181430,5942,115432,4428,4741,50887,18155.0,23365.0,26788.0,16518.0,6401.0,2710.0,1184.0,543.0,391.0,430.0,96485.0,0.025486866726730888
1333,Yuru Yuri,1334.0,536,7.59,12.0,TV,https://myanimelist.net/anime/10495/Yuru_Yuri,Summer 2011 ,YuruYuri: Happy Go Lily,ゆるゆり,YRYR,Finished Airing ,"Jul 5, 2011 to Sep 20, 2011 ",,"TV Tokyo, Daume, Sotsu, Pony Canyon, DAX Production, Studio Gram, PRA, Jumondo ","NIS America, Inc. ",Doga Kobo ,Manga ,"Slice of Life, Comedy, School, Shoujo Ai",23 min. per ep. ,PG-13 - Teens 13 or older ,4115,289661,14787,161904,10239,11196,91535,12690.0,20308.0,38577.0,35293.0,14620.0,6692.0,2297.0,994.0,514.0,551.0,132536.0,0.025416296076687418
536,Tate no Yuusha no Nariagari,537.0,81,8.0,25.0,TV,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari,Winter 2019 ,The Rising of the Shield Hero,盾の勇者の成り上がり,,Finished Airing ,"Jan 9, 2019 to Jun 26, 2019 ",Wednesdays at 22:00 (JST) ,"Frontier Works, AT-X, Nippon Columbia, Glovision, Good Smile Company, Sammy, Kadokawa Media House, NTT Plala, Kadokawa, Crunchyroll SC Anime Fund ",Funimation ,Kinema Citrus ,Light novel ,"Action, Adventure, Drama, Fantasy",24 min. per ep. ,PG-13 - Teens 13 or older ,18563,1024838,105325,731692,17776,29946,140099,96694.0,147510.0,190386.0,114875.0,42637.0,18729.0,9271.0,4327.0,2132.0,2298.0,628859.0,0.025369964411255008
498,Kaichou wa Maid-sama!,499.0,95,8.04,26.0,TV,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama,Spring 2010 ,Maid Sama!,会長はメイド様!,Class President is a Maid!,Finished Airing ,"Apr 2, 2010 to Sep 24, 2010 ",Fridays at 01:55 (JST) ,"Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio ",Sentai Filmworks ,J.C.Staff ,Manga ,"Comedy, Romance, School, Shoujo",24 min. per ep. ,PG-13 - Teens 13 or older ,18087,955382,44567,716530,25361,26789,142135,99280.0,123602.0,161485.0,111479.0,42186.0,18361.0,6438.0,2489.0,1288.0,1214.0,567822.0,0.025242488102382315
166,Kiseijuu: Sei no Kakuritsu,167.0,38,8.38,24.0,TV,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,Fall 2014 ,Parasyte -the maxim-,寄生獣 セイの格率,"Parasite, Parasitic Beasts, Parasyte",Finished Airing ,"Oct 9, 2014 to Mar 26, 2015 ",Thursdays at 01:29 (JST) ,"VAP, Kodansha, Nippon Television Network, Forecast Communications ",Sentai Filmworks ,Madhouse ,Manga ,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen",23 min. per ep. ,R - 17+ (violence & profanity) ,26085,1366320,72314,1034275,33351,23951,202429,148380.0,262783.0,265220.0,121881.0,33953.0,11722.0,4089.0,1358.0,661.0,1001.0,851048.0,0.02522056513016364
940,Slayers,940.0,1292,7.75,26.0,TV,https://myanimelist.net/anime/534/Slayers,Spring 1995 ,Slayers,スレイヤーズ,"The Slayers, Slayers TV",Finished Airing ,"Apr 7, 1995 to Sep 29, 1995 ",Fridays at 18:30 (JST) ,"J.C.Staff, TV Tokyo, SoftX, TV Tokyo Music ","Funimation, Central Park Media, Enoki Films ",E&G Films ,Light novel ,"Adventure, Comedy, Demons, Magic, Fantasy",22 min. per ep. ,PG-13 - Teens 13 or older ,1751,120182,5583,69834,5667,4504,34594,6088.0,9566.0,16449.0,14532.0,5380.0,2247.0,635.0,221.0,88.0,111.0,55317.0,0.025073746312684365
