,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1,Members scored,F10
16370,Hataraku Maou-sama! 2nd Season,,1340,,,TV,https://myanimelist.net/anime/48413/Hataraku_Maou-sama_2nd_Season,? ,,はたらく魔王さま！,The Devil is a Part-Timer! 2nd Season,Not yet aired ,Not available ,,Infinite ,,,Light novel ,"Comedy, Demons, Supernatural, Romance, Fantasy",,PG-13 - Teens 13 or older ,991,115766,0,0,5,0,115761,,,,1.0,,,,,,,,inf
16399,JoJo no Kimyou na Bouken Part 6: Stone Ocean,,1382,,,Unknown,https://myanimelist.net/anime/48661/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean,,,ジョジョの奇妙な冒険 ストーンオーシャン,JoJo's Bizarre Adventure Part 6: Stone Ocean,Not yet aired ,Not available ,,Warner Bros. Japan ,,,Manga ,"Action, Adventure, Shounen",,R - 17+ (violence & profanity) ,1932,110973,1,0,0,1,110971,1.0,,,,,,,,,,,inf
16402,Jujutsu Kaisen 0 Movie,,1283,,1.0,Movie,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,,,劇場版 呪術廻戦 0,Gekijouban Jujutsu Kaisen 0,Not yet aired ,Not available ,,TOHO animation ,,MAPPA ,Manga ,"Action, Demons, Supernatural, Shounen",,,1106,123371,1,0,2,0,123368,2.0,,,,,,,,,,,inf
16418,Kimetsu no Yaiba: Yuukaku-hen,,1236,,,TV,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,? ,,鬼滅の刃 遊郭編,,Not yet aired ,2021 to ? ,,,,ufotable ,Manga ,"Action, Historical, Demons, Supernatural, Shounen",,R - 17+ (violence & profanity) ,1194,129944,4,0,3,0,129937,1.0,1.0,,,,,,,,,,inf
16413,"Kanojo, Okarishimasu 2nd Season",,1280,,,TV,https://myanimelist.net/anime/42963/Kanojo_Okarishimasu_2nd_Season,? ,,彼女、お借りします,"Kanokari, Rent-a-Girlfriend 2nd Season",Not yet aired ,2022 to ? ,,,,,Manga ,"Comedy, Romance, School, Shounen",,PG-13 - Teens 13 or older ,1394,123257,1,0,4,0,123252,2.0,,1.0,,,,,,,,,inf
16422,Kobayashi-san Chi no Maid Dragon S,,1110,,,TV,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S,Summer 2021 ,,小林さんちのメイドラゴンS,"Miss Kobayashi's Dragon Maid S, Kobayashi-san Chi no Maid Dragon 2nd Season, Miss Kobayashi's Dragon Maid 2nd Season, The maid dragon of Kobayashi-san 2nd Season",Not yet aired ,"Jul, 2021 to ? ",,"Lantis, Heart Company ",,Kyoto Animation ,Manga ,"Slice of Life, Comedy, Fantasy",,PG-13 - Teens 13 or older ,947,145161,4,0,4,1,145152,,1.0,1.0,,,,,,,,,inf
16205,Tate no Yuusha no Nariagari Season 3,,1163,,,TV,https://myanimelist.net/anime/40357/Tate_no_Yuusha_no_Nariagari_Season_3,? ,The Rising of the Shield Hero,盾の勇者の成り上がり,"Tate no Yuusha no Nariagari 3rd Season, The Rising of the Shield Hero 3rd Season",Not yet aired ,Not available ,,,,,Light novel ,"Action, Adventure, Drama, Fantasy",,PG-13 - Teens 13 or older ,988,137737,1,0,3,0,137733,1.0,,,,,,,,,,,inf
83,One Piece,84.0,31,8.55,,TV,https://myanimelist.net/anime/21/One_Piece,Fall 1999 ,One Piece,ONE PIECE,OP,Currently Airing ,"Oct 20, 1999 to ? ",Sundays at 09:30 (JST) ,"Fuji TV, TAP, Shueisha ","Funimation, 4Kids Entertainment ",Toei Animation ,Manga ,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24 min. ,PG-13 - Teens 13 or older ,116825,1486509,981847,26,202576,143970,158090,327877.0,182210.0,153841.0,91877.0,37776.0,20129.0,8668.0,3918.0,2796.0,6997.0,836089.0,4493.2692307692305
16204,Tate no Yuusha no Nariagari Season 2,,578,,,TV,https://myanimelist.net/anime/40356/Tate_no_Yuusha_no_Nariagari_Season_2,Fall 2021 ,The Rising of the Shield Hero Season 2,盾の勇者の成り上がり Season2,Tate no Yuusha no Nariagari 2nd Season,Not yet aired ,"Oct, 2021 to ? ",,Glovision ,,"Kinema Citrus, DR Movie ",Light novel ,"Action, Adventure, Drama, Fantasy",24 min. ,PG-13 - Teens 13 or older ,3569,272436,1,1,4,0,272430,2.0,,2.0,1.0,,1.0,,,,,,3569.0
351,Detective Conan,352.0,588,8.16,,TV,https://myanimelist.net/anime/235/Detective_Conan,Winter 1996 ,Case Closed,名探偵コナン,Meitantei Conan,Currently Airing ,"Jan 8, 1996 to ? ",Saturdays at 18:00 (JST) ,"Yomiuri Telecasting, Animax, YTV, TMS-Kyokuchi, Shogakukan ","Funimation, Crunchyroll ",TMS Entertainment ,Manga ,"Adventure, Mystery, Comedy, Police, Shounen",25 min. ,PG-13 - Teens 13 or older ,10543,267955,122724,9,58069,38047,49106,29153.0,26919.0,33396.0,22590.0,8270.0,3582.0,1077.0,445.0,276.0,510.0,126218.0,1171.4444444444443
16285,Arifureta Shokugyou de Sekai Saikyou 2nd Season,,1487,,,TV,https://myanimelist.net/anime/40507/Arifureta_Shokugyou_de_Sekai_Saikyou_2nd_Season,Winter 2022 ,,ありふれた職業で世界最強 2nd Season,From Common Job Class to the Strongest in the World 2nd Season,Not yet aired ,"Jan, 2022 to ? ",,studio MOTHER ,,Asread ,Light novel ,"Action, Adventure, Harem, Fantasy",,PG-13 - Teens 13 or older ,1058,100350,1,1,2,0,100346,1.0,1.0,1.0,,,,,,,,,1058.0
16209,Tensei shitara Slime Datta Ken 2nd Season Part 2,,1070,,,TV,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,Summer 2021 ,,転生したらスライムだった件,"That Time I Got Reincarnated as a Slime Season 2, Tensura 2",Not yet aired ,"Jul 6, 2021 to ? ",Tuesdays at 23:00 (JST) ,,,8bit ,Light novel ,"Action, Adventure, Comedy, Demons, Magic, Fantasy",,PG-13 - Teens 13 or older ,1614,150207,4,2,4,0,150197,7.0,3.0,2.0,,,,,,,,,807.0
16171,Shingeki no Kyojin: The Final Season Part 2,,774,,,TV,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,Winter 2022 ,Attack on Titan Final Season,進撃の巨人 The Final Season Part 2,"Shingeki no Kyojin Season 4, Attack on Titan Season 4",Not yet aired ,"Jan, 2022 to ? ",,,,,Manga ,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",,R - 17+ (violence & profanity) ,2251,209121,4,5,6,1,209105,5.0,1.0,2.0,,,,,,1.0,,,450.2
4571,Edens Zero,4664.0,1428,6.76,,TV,https://myanimelist.net/anime/42192/Edens_Zero,Spring 2021 ,Edens Zero,EDENS ZERO,,Currently Airing ,"Apr 11, 2021 to ? ",Sundays at 00:55 (JST) ,"Kodansha, Magic Capsule, Nippon Television Music ",,J.C.Staff ,Manga ,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Space",23 min. ,PG-13 - Teens 13 or older ,859,104668,46741,2,1983,3893,52049,1619.0,1154.0,2329.0,3716.0,2232.0,1258.0,662.0,370.0,270.0,390.0,14000.0,429.5
16406,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season,,1041,,,TV,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen_3rd_Season,? ,,かぐや様は告らせたい ～天才たちの恋愛頭脳戦～,Kaguya-sama: Love is War Season 3rd Season,Not yet aired ,Not available ,,"Aniplex, Shueisha ",,,Manga ,"Comedy, Psychological, Romance, School, Seinen",,PG-13 - Teens 13 or older ,1111,155517,9,3,7,0,155498,2.0,1.0,3.0,,,,,1.0,,,,370.3333333333333
118,Vivy: Fluorite Eye's Song,119.0,926,8.47,13.0,TV,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,Spring 2021 ,Vivy -Fluorite Eye's Song-,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),,Currently Airing ,"Apr 3, 2021 to ? ",Saturdays at 23:30 (JST) ,Aniplex ,Aniplex of America ,Wit Studio ,Original ,"Action, Music, Sci-Fi, Thriller",24 min. per ep. ,R - 17+ (violence & profanity) ,1380,173959,99226,6,2465,1818,70444,6478.0,10373.0,8854.0,3231.0,946.0,435.0,176.0,66.0,36.0,91.0,30686.0,230.0
9024,Boruto: Naruto Next Generations,9025.0,210,5.79,,TV,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,Spring 2017 ,Boruto: Naruto Next Generations,BORUTO -NARUTO NEXT GENERATIONS-,,Currently Airing ,"Apr 5, 2017 to ? ",Sundays at 17:30 (JST) ,"TV Tokyo, Aniplex, Rakuonsha, Shueisha ",VIZ Media ,Studio Pierrot ,Manga ,"Action, Adventure, Super Power, Martial Arts, Shounen",23 min. ,PG-13 - Teens 13 or older ,3986,588914,313250,18,75721,128053,71872,15785.0,14274.0,30734.0,54974.0,53106.0,39775.0,29572.0,15962.0,10664.0,14926.0,279772.0,221.44444444444446
3715,Shaman King (2021),3716.0,986,6.99,52.0,TV,https://myanimelist.net/anime/42205/Shaman_King_2021,Spring 2021 ,,SHAMAN KING,,Currently Airing ,"Apr 1, 2021 to ? ",Thursdays at 17:55 (JST) ,"TV Tokyo, King Records, Techno Sound ",,Bridge ,Manga ,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",23 min. per ep. ,PG-13 - Teens 13 or older ,863,161487,74768,4,3443,6564,76708,1733.0,1486.0,3701.0,5521.0,2845.0,1609.0,706.0,306.0,145.0,163.0,18215.0,215.75
49,Fumetsu no Anata e,50.0,429,8.66,20.0,TV,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,Spring 2021 ,To Your Eternity,不滅のあなたへ,"To You, the Immortal",Currently Airing ,"Apr 12, 2021 to ? ",Mondays at 22:50 (JST) ,"NHK, NHK Enterprises ",,Brain's Base ,Manga ,"Adventure, Supernatural, Drama, Shounen",25 min. per ep. ,R - 17+ (violence & profanity) ,3433,349316,201735,21,4346,2051,141163,16191.0,20963.0,16008.0,5660.0,1514.0,564.0,190.0,94.0,45.0,185.0,61414.0,163.47619047619048
18,Fruits Basket: The Final,19.0,1104,8.87,13.0,TV,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,Spring 2021 ,,フルーツバスケット The Final,"Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba",Currently Airing ,"Apr 6, 2021 to ? ",Tuesdays at 01:30 (JST) ,TMS Music ,Funimation ,TMS Entertainment ,Manga ,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",23 min. per ep. ,PG-13 - Teens 13 or older ,2031,145787,66352,13,1664,550,77208,8177.0,5566.0,3807.0,1377.0,418.0,182.0,61.0,38.0,34.0,227.0,19887.0,156.23076923076923
441,Tokyo Revengers,442.0,583,8.08,,TV,https://myanimelist.net/anime/42249/Tokyo_Revengers,Spring 2021 ,Tokyo Revengers,東京リベンジャーズ,,Currently Airing ,"Apr 11, 2021 to ? ",Sundays at 02:08 (JST) ,Pony Canyon ,,LIDENFILMS ,Manga ,"Action, Drama, School, Shounen, Supernatural",23 min. ,PG-13 - Teens 13 or older ,2338,270461,167790,15,3114,2555,96987,7825.0,11463.0,18500.0,9431.0,2462.0,888.0,367.0,151.0,70.0,174.0,51331.0,155.86666666666667
599,86,600.0,808,7.95,11.0,TV,https://myanimelist.net/anime/41457/86,Spring 2021 ,,86―エイティシックス―,Eighty Six,Currently Airing ,"Apr 11, 2021 to ? ",Sundays at 00:00 (JST) ,"Aniplex, Kadokawa, Bandai Spirits ",,A-1 Pictures ,Light novel ,"Action, Drama, Mecha, Military, Sci-Fi",23 min. per ep. ,R - 17+ (violence & profanity) ,1562,200037,115325,11,2412,2486,79803,4070.0,6527.0,11326.0,6371.0,1925.0,794.0,334.0,136.0,63.0,114.0,31660.0,142.0
830,Zombieland Saga: Revenge,831.0,1331,7.81,12.0,TV,https://myanimelist.net/anime/40174/Zombieland_Saga__Revenge,Spring 2021 ,Zombie Land Saga Revenge,ゾンビランドサガ リベンジ,Zombieland Saga Second Season,Currently Airing ,"Apr 8, 2021 to ? ",Thursdays at 23:30 (JST) ,"Avex Pictures, dugout ",Funimation ,MAPPA ,Original ,"Music, Comedy, Supernatural",23 min. per ep. ,R - 17+ (violence & profanity) ,407,115785,48615,3,1099,1014,65054,1438.0,1835.0,3875.0,3021.0,865.0,321.0,96.0,41.0,18.0,46.0,11556.0,135.66666666666666
4665,Edens Zero,4666.0,1426,6.76,25.0,TV,https://myanimelist.net/anime/42192/Edens_Zero,Spring 2021 ,Edens Zero,EDENS ZERO,,Currently Airing ,"Apr 11, 2021 to ? ",Sundays at 00:55 (JST) ,"Kodansha, Magic Capsule, Nippon Television Music ",,J.C.Staff ,Manga ,"Action, Sci-Fi, Adventure, Space, Comedy, Fantasy, Shounen",23 min. per ep. ,PG-13 - Teens 13 or older ,867,105148,46900,7,2035,3975,52231,1630.0,1164.0,2350.0,3746.0,2276.0,1267.0,672.0,374.0,279.0,394.0,14152.0,123.85714285714286
874,Hige wo Soru. Soshite Joshikousei wo Hirou.,875.0,517,7.78,13.0,TV,https://myanimelist.net/anime/40938/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou,Spring 2021 ,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",ひげを剃る。そして女子高生を拾う。,"I Shaved. Then I Brought a High School Girl Home., Higehiro",Currently Airing ,"Apr 5, 2021 to ? ",Mondays at 22:30 (JST) ,"Pony Canyon, Magic Capsule, Dream Shift ",,Project No.9 ,Light novel ,"Drama, Romance",23 min. per ep. ,R+ - Mild Nudity ,3031,297581,196567,34,3396,4000,93584,7556.0,10643.0,21756.0,14907.0,4158.0,1643.0,710.0,346.0,240.0,601.0,62560.0,89.1470588235294
3653,Koi to Yobu ni wa Kimochi Warui,3654.0,1321,7.01,12.0,TV,https://myanimelist.net/anime/41103/Koi_to_Yobu_ni_wa_Kimochi_Warui,Spring 2021 ,Koikimo,恋と呼ぶには気持ち悪い,It's Too Sick to Call this Love,Currently Airing ,"Apr 5, 2021 to ? ",Mondays at 22:00 (JST) ,"BS Fuji, Hokkaido Cultural Broadcasting, Amusement Media Academy, Ichijinsha, Kanetsu Investment, Sonilude, Toyo Recording, BloomZ, AMG Entertainment, MediaNet Pictures, Christmas Holly, Miyazaki Broadcasting, C-one ",,Nomad ,Web manga ,"Comedy, Romance",23 min. per ep. ,PG-13 - Teens 13 or older ,828,116495,70322,10,1628,4687,39848,2200.0,2276.0,4962.0,6335.0,2866.0,1368.0,814.0,473.0,302.0,508.0,22104.0,82.8
3037,"Sentouin, Hakenshimasu!",3038.0,969,7.15,12.0,TV,https://myanimelist.net/anime/41456/Sentouin_Hakenshimasu,Spring 2021 ,Combatants Will Be Dispatched!,戦闘員、派遣します！,,Currently Airing ,"Apr 4, 2021 to ? ",Sundays at 21:00 (JST) ,"Nippon Columbia, Kadokawa ",Funimation ,J.C.Staff ,Light novel ,"Action, Comedy, Fantasy",24 min. per ep. ,PG-13 - Teens 13 or older ,894,164689,98290,14,2402,5218,58765,2493.0,2613.0,6711.0,8751.0,3793.0,1837.0,879.0,444.0,231.0,207.0,27959.0,63.857142857142854
4296,Osananajimi ga Zettai ni Makenai Love Comedy,4744.0,1213,6.74,12.0,TV,https://myanimelist.net/anime/43007/Osananajimi_ga_Zettai_ni_Makenai_Love_Comedy,Spring 2021 ,Osamake: Romcom Where The Childhood Friend Won't Lose,幼なじみが絶対に負けないラブコメ,"The Romcom Where The Childhood Friend Won't Lose!, Osamake",Currently Airing ,"Apr 14, 2021 to ? ",Wednesdays at 21:00 (JST) ,"Delfi Sound, Kadokawa ",,Doga Kobo ,Light novel ,"Comedy, Harem, Romance, School",23 min. per ep. ,PG-13 - Teens 13 or older ,1175,131169,71683,19,1666,4442,53359,1950.0,1758.0,4085.0,6276.0,3695.0,2067.0,1235.0,666.0,332.0,316.0,22380.0,61.8421052631579
3018,"Ijiranaide, Nagatoro-san",3019.0,428,7.15,12.0,TV,https://myanimelist.net/anime/42361/Ijiranaide_Nagatoro-san,Spring 2021 ,"Don't Toy with Me, Miss Nagatoro",イジらないで、長瀞さん,"Please don't bully me, Nagatoro",Currently Airing ,"Apr 11, 2021 to ? ",Sundays at 01:00 (JST) ,King Records ,,Telecom Animation Film ,Manga ,"Comedy, Romance, Slice of Life",23 min. per ep. ,PG-13 - Teens 13 or older ,3501,349873,203902,57,3810,8706,133398,7512.0,7659.0,16382.0,19103.0,8183.0,3604.0,1979.0,1085.0,856.0,1659.0,68022.0,61.421052631578945
3649,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,3650.0,797,7.01,10.0,TV,https://myanimelist.net/anime/41623/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu_Ω,Spring 2021 ,How Not to Summon a Demon Lord Ω,異世界魔王と召喚少女の奴隷魔術Ω,"How Not to Summon a Demon Lord 2nd Season, Isekai Maou to Shoukan Shoujo no Dorei Majutsu 2nd Season, The Otherworldly Demon King and the Summoner Girls' Slave Magic 2nd Season, Isekai Maou to Shoukan Shoujo no Dorei Majutsu Omega",Currently Airing ,"Apr 9, 2021 to ? ",Fridays at 01:28 (JST) ,"Kodansha, Half H.P Studio, KlockWorx, 81 Produce, Avex Pictures, Crunchyroll, GREE ",Funimation ,"Tezuka Productions, Okuruto Noboru ",Light novel ,"Harem, Comedy, Magic, Ecchi, Fantasy",24 min. per ep. ,PG-13 - Teens 13 or older ,1867,201501,90965,31,2047,2518,105940,2648.0,2020.0,4733.0,7395.0,4031.0,1963.0,952.0,454.0,226.0,218.0,24640.0,60.225806451612904
3650,Koi to Yobu ni wa Kimochi Warui,3651.0,1330,7.01,12.0,TV,https://myanimelist.net/anime/41103/Koi_to_Yobu_ni_wa_Kimochi_Warui,Spring 2021 ,Koikimo,恋と呼ぶには気持ち悪い,It's Too Sick to Call this Love,Currently Airing ,"Apr 5, 2021 to ? ",Mondays at 22:00 (JST) ,"BS Fuji, Hokkaido Cultural Broadcasting, Amusement Media Academy, Ichijinsha, Kanetsu Investment, Sonilude, Toyo Recording, BloomZ, AMG Entertainment, MediaNet Pictures, Christmas Holly, Miyazaki Broadcasting, C-one ",,Nomad ,Web manga ,"Comedy, Romance",23 min. per ep. ,PG-13 - Teens 13 or older ,817,115507,69788,14,1588,4609,39508,2176.0,2232.0,4905.0,6241.0,2829.0,1357.0,803.0,465.0,297.0,502.0,21807.0,58.357142857142854
839,Zombieland Saga: Revenge,840.0,1337,7.8,12.0,TV,https://myanimelist.net/anime/40174/Zombieland_Saga__Revenge,Spring 2021 ,Zombie Land Saga Revenge,ゾンビランドサガ リベンジ,Zombieland Saga Second Season,Currently Airing ,"Apr 8, 2021 to ? ",Thursdays at 23:30 (JST) ,"Avex Pictures, dugout ",Funimation ,MAPPA ,Original ,"Music, Comedy, Supernatural",23 min. per ep. ,R - 17+ (violence & profanity) ,394,115009,48158,7,1058,980,64806,1381.0,1780.0,3778.0,3006.0,848.0,313.0,93.0,42.0,17.0,43.0,11301.0,56.285714285714285
2117,"Kumo Desu ga, Nani ka?",2118.0,789,7.35,24.0,TV,https://myanimelist.net/anime/37984/Kumo_Desu_ga_Nani_ka,Winter 2021 ,"So I'm a Spider, So What?",蜘蛛ですが、なにか？,,Currently Airing ,"Jan 8, 2021 to ? ",Fridays at 21:30 (JST) ,Kadokawa ,,Millepensee ,Light novel ,"Action, Adventure, Mystery, Comedy, Magic, Fantasy",23 min. per ep. ,PG-13 - Teens 13 or older ,1533,203381,132829,28,4562,8421,57541,5833.0,7612.0,14883.0,14792.0,6642.0,3119.0,1650.0,787.0,441.0,457.0,56216.0,54.75
234,Nomad: Megalo Box 2,235.0,1406,8.28,13.0,TV,https://myanimelist.net/anime/40729/Nomad__Megalo_Box_2,Spring 2021 ,,NOMAD メガロボクス2,,Currently Airing ,"Apr 4, 2021 to ? ",Sundays at 23:00 (JST) ,Tohokushinsha Film Corporation ,Funimation ,TMS Entertainment ,Original ,"Action, Drama, Sci-Fi, Sports",24 min. per ep. ,R - 17+ (violence & profanity) ,537,107309,47635,10,965,559,58140,1917.0,3572.0,4309.0,1727.0,420.0,140.0,61.0,25.0,16.0,48.0,12235.0,53.7
2983,"Ijiranaide, Nagatoro-san",3017.0,429,7.15,12.0,TV,https://myanimelist.net/anime/42361/Ijiranaide_Nagatoro-san,Spring 2021 ,"Don't Toy with Me, Miss Nagatoro",イジらないで、長瀞さん,"Please don't bully me, Nagatoro",Currently Airing ,"Apr 11, 2021 to ? ",Sundays at 01:00 (JST) ,King Records ,,Telecom Animation Film ,Manga ,"Comedy, Romance, Slice of Life",23 min. per ep. ,PG-13 - Teens 13 or older ,3434,346571,201488,67,3681,8467,132868,7380.0,7479.0,16070.0,18739.0,8003.0,3519.0,1934.0,1073.0,844.0,1634.0,66675.0,51.25373134328358
5276,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,5436.0,1471,6.6,12.0,TV,https://myanimelist.net/anime/44276/Kyuukyoku_Shinka_shita_Full_Dive_RPG_ga_Genjitsu_yori_mo_Kusoge_Dattara,Spring 2021 ,Full Dive: The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,究極進化したフルダイブRPGが現実よりもクソゲーだったら,What If the Ultimately Evolved Full Dive RPG was a Crappier Game than Reality,Currently Airing ,"Apr 7, 2021 to ? ",Wednesdays at 22:30 (JST) ,"Kadokawa, Bit grooove promotion ",Funimation ,ENGI ,Light novel ,"Action, Comedy, Fantasy, Game",23 min. per ep. ,,483,100863,60868,12,1446,3979,34558,1146.0,1042.0,2999.0,4980.0,3132.0,1578.0,1036.0,565.0,287.0,281.0,17046.0,40.25
1436,Tensura Nikki: Tensei shitara Slime Datta Ken,1437.0,999,7.55,12.0,TV,https://myanimelist.net/anime/41488/Tensura_Nikki__Tensei_shitara_Slime_Datta_Ken,Spring 2021 ,,転スラ日記 転生したらスライムだった件,The Slime Diaries: That Time I Got Reincarnated as a Slime,Currently Airing ,"Apr 6, 2021 to ? ",Tuesdays at 23:00 (JST) ,"Lantis, Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions ",,8bit ,Manga ,"Slice of Life, Comedy, Fantasy, Shounen",23 min. per ep. ,PG-13 - Teens 13 or older ,1044,159788,75301,35,1968,2812,79672,3269.0,2745.0,5978.0,6503.0,2477.0,1005.0,323.0,112.0,70.0,107.0,22589.0,29.82857142857143
1435,Tensura Nikki: Tensei shitara Slime Datta Ken,1436.0,1000,7.55,12.0,TV,https://myanimelist.net/anime/41488/Tensura_Nikki__Tensei_shitara_Slime_Datta_Ken,Spring 2021 ,,転スラ日記 転生したらスライムだった件,The Slime Diaries: That Time I Got Reincarnated as a Slime,Currently Airing ,"Apr 6, 2021 to ? ",Tuesdays at 23:00 (JST) ,"Lantis, Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions ",,8bit ,Manga ,"Slice of Life, Comedy, Fantasy, Shounen",23 min. per ep. ,PG-13 - Teens 13 or older ,1036,158751,74542,51,1917,2744,79497,3212.0,2685.0,5865.0,6390.0,2448.0,978.0,315.0,107.0,68.0,102.0,22170.0,20.313725490196077
5088,Nanatsu no Taizai: Fundo no Shinpan,5089.0,743,6.67,24.0,TV,https://myanimelist.net/anime/41491/Nanatsu_no_Taizai__Fundo_no_Shinpan,Winter 2021 ,The Seven Deadly Sins: Dragon's Judgement,七つの大罪 憤怒の審判,The Seven Deadly Sins: Judgement of Fury,Currently Airing ,"Jan 13, 2021 to ? ",Wednesdays at 17:55 (JST) ,TV Tokyo ,,Studio Deen ,Manga ,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",24 min. per ep. ,PG-13 - Teens 13 or older ,1158,213999,106851,68,7233,8775,91072,5485.0,4562.0,8246.0,11695.0,8415.0,4703.0,3278.0,1525.0,991.0,1167.0,50067.0,17.029411764705884
5007,Nanatsu no Taizai: Fundo no Shinpan,5008.0,747,6.68,24.0,TV,https://myanimelist.net/anime/41491/Nanatsu_no_Taizai__Fundo_no_Shinpan,Winter 2021 ,The Seven Deadly Sins: Dragon's Judgement,七つの大罪 憤怒の審判,The Seven Deadly Sins: Judgement of Fury,Currently Airing ,"Jan 13, 2021 to ? ",Wednesdays at 17:55 (JST) ,TV Tokyo ,,Studio Deen ,Manga ,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",24 min. per ep. ,PG-13 - Teens 13 or older ,1152,213242,106410,97,7156,8670,90909,5463.0,4546.0,8203.0,11638.0,8369.0,4658.0,3226.0,1498.0,979.0,1156.0,49736.0,11.876288659793815
401,Evangelion: 3.0+1.0 Thrice Upon a Time,403.0,918,8.11,1.0,Movie,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time,,Evangelion: 3.0+1.0 Thrice Upon a Time,シン・エヴァンゲリオン劇場版:||,"Evangelion: 4.0, Rebuild of Evangelion, Shin Evangelion Gekijouban: ||",Finished Airing ,"Mar 8, 2021 ",,KlockWorx ,,Khara ,Original ,"Action, Sci-Fi, Psychological, Drama, Mecha",2 hr. 35 min. ,PG-13 - Teens 13 or older ,633,175581,1236,1788,691,104,171762,585.0,287.0,349.0,160.0,74.0,28.0,19.0,10.0,9.0,41.0,1562.0,0.3540268456375839
415,Evangelion: 3.0+1.0 Thrice Upon a Time,416.0,918,8.1,1.0,Movie,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time,,Evangelion: 3.0+1.0 Thrice Upon a Time,シン・エヴァンゲリオン劇場版:||,"Evangelion: 4.0, Rebuild of Evangelion, Shin Evangelion Gekijouban: ||",Finished Airing ,"Mar 8, 2021 ",,KlockWorx ,,Khara ,Original ,"Action, Sci-Fi, Psychological, Drama, Mecha",2 hr. 35 min. ,PG-13 - Teens 13 or older ,635,175773,1243,1814,699,103,171914,590.0,291.0,356.0,160.0,74.0,28.0,19.0,10.0,9.0,42.0,1579.0,0.3500551267916207
5,Ginga Eiyuu Densetsu,6.0,643,9.06,110.0,OVA,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,,Legend of the Galactic Heroes,銀河英雄伝説,"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel",Finished Airing ,"Jan 8, 1988 to Mar 17, 1997 ",,"Kitty Films, K-Factory ",Sentai Filmworks ,"Artland, Magic Bus ",Novel ,"Military, Sci-Fi, Space, Drama",26 min. per ep. ,R - 17+ (violence & profanity) ,12875,245149,27155,55414,15731,6271,140578,32010.0,12176.0,7517.0,3766.0,1685.0,1025.0,508.0,291.0,521.0,2408.0,61907.0,0.23234200743494424
