,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1,F10
513,ReLIFE,514.0,134,8.02,13.0,TV,https://myanimelist.net/anime/30015/ReLIFE,Summer 2016 ,ReLIFE,ReLIFE,Re LIFE,Finished Airing ,"Jul 2, 2016 to Sep 24, 2016 ",Saturdays at 00:00 (JST) ,"Aniplex, Half H.P Studio, comico, Hakuhodo DY Media Partners, Lawson, C & I entertainment, TMS Music ","Funimation, Crunchyroll ",TMS Entertainment ,Web manga ,"Slice of Life, Romance, School",23 min. per ep. ,PG-13 - Teens 13 or older ,7586,771935,34830,539746,16308,15593,165458,49343.0,101018.0,150587.0,89613.0,28343.0,10569.0,3398.0,1079.0,504.0,479.0,0.01405475909038696
1005,Kami nomi zo Shiru Sekai,1006.0,252,7.71,12.0,TV,https://myanimelist.net/anime/8525/Kami_nomi_zo_Shiru_Sekai,Fall 2010 ,The World God Only Knows,神のみぞ知るセカイ,Kaminomi,Finished Airing ,"Oct 7, 2010 to Dec 23, 2010 ",Thursdays at 01:50 (JST) ,"TV Tokyo, Geneon Universal Entertainment ",Sentai Filmworks ,Manglobe ,Manga ,"Comedy, Harem, Romance, Shounen, Supernatural",23 min. per ep. ,PG-13 - Teens 13 or older ,5192,530310,20164,369592,13199,15353,112002,29027.0,49807.0,90181.0,73880.0,28366.0,11564.0,4000.0,1472.0,659.0,509.0,0.014047923115218944
1623,Owari no Seraph,1624.0,91,7.49,12.0,TV,https://myanimelist.net/anime/26243/Owari_no_Seraph,Spring 2015 ,Seraph of the End: Vampire Reign,終わりのセラフ,Seraph of the End,Finished Airing ,"Apr 4, 2015 to Jun 20, 2015 ",Saturdays at 22:00 (JST) ,"Rakuonsha, NBCUniversal Entertainment Japan, Shueisha ",Funimation ,Wit Studio ,Manga ,"Action, Military, Supernatural, Drama, Vampire, Shounen",23 min. per ep. ,R - 17+ (violence & profanity) ,9753,966509,44317,695882,19038,25943,181329,52224.0,76504.0,144932.0,147597.0,63330.0,27468.0,11457.0,4816.0,2132.0,1532.0,0.014015307192886151
1625,Owari no Seraph,1626.0,91,7.49,12.0,TV,https://myanimelist.net/anime/26243/Owari_no_Seraph,Spring 2015 ,Seraph of the End: Vampire Reign,終わりのセラフ,Seraph of the End,Finished Airing ,"Apr 4, 2015 to Jun 20, 2015 ",Saturdays at 22:00 (JST) ,"Rakuonsha, NBCUniversal Entertainment Japan, Shueisha ",Funimation ,Wit Studio ,Manga ,"Action, Military, Supernatural, Drama, Vampire, Shounen",23 min. per ep. ,R - 17+ (violence & profanity) ,9762,967885,44431,696845,19058,25963,181588,52296.0,76602.0,145172.0,147802.0,63411.0,27505.0,11474.0,4820.0,2140.0,1534.0,0.014008854192826239
254,Magi: The Kingdom of Magic,256.0,161,8.26,25.0,TV,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic,Fall 2013 ,Magi: The Kingdom of Magic,マギ The kingdom of magic,"Magi: The Labyrinth of Magic 2, Magi Season 2",Finished Airing ,"Oct 6, 2013 to Mar 30, 2014 ",Sundays at 17:00 (JST) ,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Mainichi Broadcasting System, Movic, GYAO! ",Aniplex of America ,A-1 Pictures ,Manga ,"Action, Adventure, Magic, Fantasy, Shounen",25 min. per ep. ,PG-13 - Teens 13 or older ,6777,677317,30492,490089,15691,11714,129331,57076.0,103206.0,123027.0,61723.0,17615.0,6395.0,1953.0,657.0,287.0,340.0,0.013828100610297314
792,Nanatsu no Taizai,794.0,25,7.82,24.0,TV,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai,Fall 2014 ,The Seven Deadly Sins,七つの大罪,Nanatsu no Taizai,Finished Airing ,"Oct 5, 2014 to Mar 29, 2015 ",Sundays at 17:00 (JST) ,"Aniplex, Dentsu, Mainichi Broadcasting System, Kodansha, Movic ",Funimation ,A-1 Pictures ,Manga ,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",24 min. per ep. ,PG-13 - Teens 13 or older ,17614,1545218,66346,1278669,23923,37009,139271,127580.0,207385.0,301308.0,215985.0,84179.0,38663.0,18362.0,8678.0,4723.0,4953.0,0.01377526161969986
2338,Zero no Tsukaima,2343.0,160,7.3,13.0,TV,https://myanimelist.net/anime/1195/Zero_no_Tsukaima,Summer 2006 ,The Familiar of Zero,ゼロの使い魔,Zero's Familiar,Finished Airing ,"Jul 3, 2006 to Sep 25, 2006 ",Mondays at 00:30 (JST) ,"Genco, Media Factory, Shochiku, Bushiroad, Happinet Pictures ","Funimation, Sentai Filmworks, Geneon Entertainment USA ",J.C.Staff ,Light novel ,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",23 min. per ep. ,PG-13 - Teens 13 or older ,7111,677054,19669,520117,11176,18834,107258,37670.0,50371.0,93641.0,107417.0,54789.0,27295.0,12146.0,4984.0,2790.0,2124.0,0.013671923817141144
2341,Zero no Tsukaima,2342.0,160,7.3,13.0,TV,https://myanimelist.net/anime/1195/Zero_no_Tsukaima,Summer 2006 ,The Familiar of Zero,ゼロの使い魔,Zero's Familiar,Finished Airing ,"Jul 3, 2006 to Sep 25, 2006 ",Mondays at 00:30 (JST) ,"Genco, Media Factory, Shochiku, Bushiroad, Happinet Pictures ","Funimation, Sentai Filmworks, Geneon Entertainment USA ",J.C.Staff ,Light novel ,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",23 min. per ep. ,PG-13 - Teens 13 or older ,7111,677546,19679,520457,11182,18852,107376,37687.0,50389.0,93687.0,107501.0,54841.0,27316.0,12162.0,4987.0,2792.0,2125.0,0.013662992331739222
479,Magi: The Labyrinth of Magic,480.0,115,8.05,25.0,TV,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic,Fall 2012 ,Magi: The Labyrinth of Magic,マギ The labyrinth of magic,Magi Season 1,Finished Airing ,"Oct 7, 2012 to Mar 31, 2013 ",Sundays at 17:00 (JST) ,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Mainichi Broadcasting System, Movic, GYAO! ",Aniplex of America ,A-1 Pictures ,Manga ,"Action, Adventure, Fantasy, Magic, Shounen",24 min. per ep. ,PG-13 - Teens 13 or older ,7616,821974,46781,565143,29711,24035,156304,55023.0,103713.0,154432.0,88815.0,26833.0,10399.0,3433.0,1239.0,505.0,549.0,0.013476235218342968
1348,Baka to Test to Shoukanjuu,1349.0,239,7.58,13.0,TV,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu,Winter 2010 ,Baka & Test - Summon the Beasts,バカとテストと召喚獣,"The Idiot, the Tests, and the Summoned Creatures, Baka to Test to Shokanju, BakaTest",Finished Airing ,"Jan 7, 2010 to Apr 1, 2010 ",Thursdays at 02:20 (JST) ,"Lantis, Media Factory, Cospa, T.O Entertainment ",Funimation ,SILVER LINK. ,Light novel ,"Comedy, Romance, School, Super Power",24 min. per ep. ,PG-13 - Teens 13 or older ,5198,547832,19971,389034,15324,21770,101733,29357.0,49560.0,86878.0,77566.0,34991.0,16455.0,6427.0,2500.0,1124.0,870.0,0.013361300040613417
